SKU,CustomsDescription,CustomsTariffNo,CustomsCountry
NBD-SP-24-TN-JP-FLR,Notebook (bound journal),4820102060,CA
NBD-SP-24-A5-PF-FLR,Notebook (bound journal),4820102060,CA
NBD-SP-24-B5-PF-FLR,"Notebook (sewn journal, B5 size)",4820102030,CA
NBD-SP-24-TN-PF-FLR,Notebook (bound journal),4820102060,CA
NBD-SP-24-A5-SL-FLR,Notebook (bound journal),4820102060,CA
NBD-SP-24-B5-SL-FLR,"Notebook (sewn journal, B5 size)",4820102030,CA
NBD-SP-24-TN-SL-FLR,Notebook (bound journal),4820102060,CA
NBD-SP-24-A5-WO-FLR,Notebook (bound journal),4820102060,CA
NBD-SP-24-B5-WO-FLR,"Notebook (sewn journal, B5 size)",4820102030,CA
NBD-SP-24-TN-WO-FLR,Notebook (bound journal),4820102060,CA
NBD-SP-24-A5-WL-FLR,Notebook (bound journal),4820102060,CA
NBD-SP-24-B5-WL-FLR,"Notebook (sewn journal, B5 size)",4820102030,CA
NBD-SP-24-TN-WL-FLR,Notebook (bound journal),4820102060,CA
NTB-DOT-A5-DAH-IM,Notebook (bound journal),4820102060,CA
NTB-DOT-A5-JUN-IM,Notebook (bound journal),4820102060,CA
NTB-DOT-A5-PAC-IM,Notebook (bound journal),4820102060,CA
NTB-DOT-A5-WOR-IM,Notebook (bound journal),4820102060,CA
NTB-DOT-A5-WOR-IM-AA,Notebook (bound journal),4820102060,CA
NTB-DOT-A5-WIL-IM,Notebook (bound journal),4820102060,CA
NTB-DOT-B5-DAH-IM,Notebook (bound journal),4820102060,CA
NTB-DOT-B5-DAH-IM-AA,"Notebook (sewn journal, B5 size)",4820102030,CA
NTB-DOT-B5-JUN-IM,"Notebook (sewn journal, B5 size)",4820102030,CA
NTB-DOT-B5-PAC-IM,"Notebook (sewn journal, B5 size)",4820102030,CA
NTB-DOT-B5-WOR-IM,"Notebook (sewn journal, B5 size)",4820102030,CA
NTB-DOT-B5-WIL-IM,Notebook (bound journal),4820102060,CA
NTB-DOT-TN-DAH-IM,Notebook (bound journal),4820102060,CA
NTB-DOT-TN-JUN-IM,Notebook (bound journal),4820102060,CA
NTB-DOT-TN-PAC-IM,Notebook (bound journal),4820102060,CA
NTB-DOT-TN-WOR-IM,Notebook (bound journal),4820102060,CA
NTB-DOT-TN-WOR-IM-AA,Notebook (bound journal),4820102060,CA
NTB-DOT-TN-WIL-IM,Notebook (bound journal),4820102060,CA
NB-DEE-A-GPH,Notebook (bound journal),4820102060,CA
NB-JUN-A-GPH,Notebook (bound journal),4820102060,CA
NB-PAC-A-GPH,Notebook (bound journal),4820102060,CA
NB-SLA-A-GPH,Notebook (bound journal),4820102060,CA
NB-WIL-A-GPH,Notebook (bound journal),4820102060,CA
NTB-GRD-WIL-AB,Notebook (bound journal),4820102060,CA
NB-DEE-B-GPH,"Notebook (sewn journal, B5 size)",4820102030,CA
NB-JUN-B-GPH,"Notebook (sewn journal, B5 size)",4820102030,CA
NB-PAC-B-GPH,"Notebook (sewn journal, B5 size)",4820102030,CA
NB-SLA-B-GPH,"Notebook (sewn journal, B5 size)",4820102030,CA
NB-WIL-B-GPH,"Notebook (sewn journal, B5 size)",4820102030,CA
NTB-GRD-WIL-AC,"Notebook (sewn journal, B5 size)",4820102030,CA
NB-DEE-TN-GPH,Notebook (bound journal),4820102060,CA
NB-JUN-TN-GPH,Notebook (bound journal),4820102060,CA
NB-PAC-TN-GPH,Notebook (bound journal),4820102060,CA
NB-SLA-TN-GPH,Notebook (bound journal),4820102060,CA
NB-WIL-TN-GPH,Notebook (bound journal),4820102060,CA
NTB-GRD-WIL,Notebook (bound journal),4820102060,CA
NTB-GRD-A5-JUN-IM,Notebook (bound journal),4820102060,CA
NTB-GRD-A5-PAC-IM,Notebook (bound journal),4820102060,CA
NTB-GRD-A5-PAC-IM-AA,Notebook (bound journal),4820102060,CA
NTB-GRD-A5-WOR-IM,Notebook (bound journal),4820102060,CA
NTB-GRD-A5-WOR-IM-AB,Notebook (bound journal),4820102060,CA
NTB-GRD-A5-WOR-IM-AA,Notebook (bound journal),4820102060,CA
NTB-GRD-A5-WIL-IM,Notebook (bound journal),4820102060,CA
NTB-GRD-B5-DAH-IM,"Notebook (sewn journal, B5 size)",4820102030,CA
NTB-GRD-B5-JUN-IM,"Notebook (sewn journal, B5 size)",4820102030,CA
NTB-GRD-B5-PAC-IM,"Notebook (sewn journal, B5 size)",4820102030,CA
NTB-GRD-B5-WOR-IM,"Notebook (sewn journal, B5 size)",4820102030,CA
NTB-GRD-B5-WIL-IM,"Notebook (sewn journal, B5 size)",4820102030,CA
NTB-GRD-TN-DAH-IM,Notebook (bound journal),4820102060,CA
